Voltage,ROAMES_Conductor_Id,ROAMES_Span_Id,ROAMES_Bay_Id,Last_Capture_Timestamp,name,altitudeMode,WKT
415V,74096056,35506711,7564596,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74096056,absolute,"LINESTRING Z (115.50527758612296 -28.53866332147997 300.102024119445, 115.50523762152378 -28.538663470029785 300.110024735968, 115.50519765692508 -28.538663618567824 300.145676306313, 115.50515769232679 -28.538663767094093 300.208980612684, 115.50511772772897 -28.53866391560859 300.299940819639, 115.50507776313162 -28.53866406411131 300.418561474239, 115.5050377985347 -28.53866421260227 300.564848506281, 115.50499783393823 -28.53866436108145 300.73880922859, 115.50495786934223 -28.538664509548862 300.94045233739, 115.50491790474666 -28.53866465800451 301.169787912733, 115.50487794015157 -28.538664806448388 301.426827419008)"
415V,74096057,35506711,7564596,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74096057,absolute,"LINESTRING Z (115.50527751481481 -28.538656258671647 300.147798474693, 115.50523752272682 -28.53865640044757 300.157735065131, 115.50519753063932 -28.538656542211637 300.193957947206, 115.50515753855228 -28.538656683963993 300.256468755109, 115.50511754646567 -28.53865682570447 300.345270309008, 115.50507755437955 -28.53865696743316 300.460366615176, 115.50503756229386 -28.538657109150165 300.601762866168, 115.50499757020866 -28.538657250855277 300.76946544106, 115.50495757812388 -28.538657392548615 300.963481905735, 115.50491758603958 -28.53865753423025 301.183821013223, 115.50487759395573 -28.53865767590001 301.430492704098)"
415V,74096058,35506711,7564596,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74096058,absolute,"LINESTRING Z (115.50527764371573 -28.538669025303157 300.078426922728, 115.5052376965897 -28.538669081752204 300.082731441029, 115.5051977494642 -28.538669138189473 300.116865012199, 115.50515780233924 -28.538669194614915 300.180829623746, 115.50511785521479 -28.538669251028672 300.274629000163, 115.50507790809084 -28.538669307430684 300.398268603143, 115.50503796096743 -28.53866936382093 300.551755631898, 115.50499801384456 -28.538669420199334 300.735099023578, 115.50495806672218 -28.538669476566064 300.94830945379, 115.50491811960033 -28.538669532921045 301.191399337221, 115.50487817247901 -28.538669589264263 301.464382828362)"
415V,74096082,35506724,7498381,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74096082,absolute,"LINESTRING Z (115.50717117037554 -28.53866158179976 294.860722647667, 115.50715049540645 -28.538661697673923 294.913226416386, 115.50712982043746 -28.538661813544838 294.969119708055, 115.50710914546856 -28.53866192941269 295.028402679441, 115.50708847049977 -28.538662045277384 295.091075496816, 115.5070677955311 -28.538662161138948 295.15713833596, 115.50704712056253 -28.538662276997346 295.226591382164, 115.50702644559406 -28.53866239285251 295.299434830225, 115.50700577062568 -28.538662508704604 295.375668884448, 115.50698509565746 -28.538662624553556 295.455293758651, 115.50696442068929 -28.538662740399353 295.53830967616)"
415V,74096083,35506724,7498381,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74096083,absolute,"LINESTRING Z (115.50717136670335 -28.538658146120724 294.85128904665, 115.50715066961327 -28.53865826043271 294.89031801832, 115.50712997252329 -28.538658374741466 294.936364498707, 115.5071092754334 -28.538658489047055 294.989429040356, 115.50708857834364 -28.53865860334958 295.049512280028, 115.50706788125399 -28.538658717648858 295.116614938707, 115.50704718416442 -28.53865883194498 295.190737821608, 115.50702648707497 -28.538658946237938 295.271881818188, 115.50700578998561 -28.53865906052783 295.360047902152, 115.50698509289637 -28.53865917481448 295.455237131473, 115.50696439580726 -28.538659289097968 295.557450648396)"
415V,74096084,35506724,7498381,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74096084,absolute,"LINESTRING Z (115.50717159522725 -28.538654146632375 294.782258586992, 115.50715087259428 -28.538654250577537 294.842079613505, 115.50713014996144 -28.53865435451944 294.904008266946, 115.5071094273287 -28.538654458458183 294.968044614152, 115.50708870469606 -28.538654562393834 295.034188724234, 115.50706798206356 -28.53865466632625 295.102440668581, 115.50704725943115 -28.53865477025549 295.172800520852, 115.50702653679885 -28.53865487418166 295.245268356985, 115.50700581416666 -28.538654978104564 295.319844255191, 115.50698509153459 -28.5386550820244 295.396528295957, 115.50696436890262 -28.538655185940982 295.475320562045)"
415V,74096085,35506724,7498381,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74096085,absolute,"LINESTRING Z (115.50717176433889 -28.538651187513025 294.825332613739, 115.50715102468935 -28.538651240826585 294.863047732598, 115.50713028503995 -28.538651294136884 294.908588162256, 115.50710954539066 -28.538651347444016 294.961954579489, 115.50708880574152 -28.538651400748062 295.023147777372, 115.50706806609251 -28.538651454048857 295.092168665297, 115.50704732644363 -28.538651507346575 295.16901826898, 115.5070265867949 -28.538651560641018 295.25369773048, 115.50700584714626 -28.538651613932394 295.346208308217, 115.50698510749777 -28.538651667220503 295.446551376988, 115.50696436784942 -28.538651720505534 295.554728427987)"
415V,74100378,35509507,7527402,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74100378,absolute,"LINESTRING Z (115.50629934612795 -28.53612184923878 299.758276126188, 115.50633148565224 -28.536121643086254 299.529033091124, 115.50636362517676 -28.5361214369262 299.331146922289, 115.50639576470151 -28.536121230758447 299.164598040692, 115.50642790422651 -28.53612102458308 299.029369967878, 115.50646004375174 -28.5361208184001 298.925449324291, 115.50649218327722 -28.536120612209594 298.852825827955, 115.50652432280293 -28.536120406011385 298.811492293451, 115.5065564623289 -28.536120199805556 298.801444631213, 115.50658860185507 -28.536119993592212 298.822681847119, 115.50662074138151 -28.536119787371156 298.875206042392)"
415V,74100379,35509507,7527402,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74100379,absolute,"LINESTRING Z (115.50630030209882 -28.53612651165807 299.828093521324, 115.50633226556697 -28.53612626253081 299.606359558511, 115.50636422903531 -28.536126013396107 299.412171081198, 115.5063961925039 -28.53612576425379 299.245513096777, 115.50642815597269 -28.53612551510394 299.106372738171, 115.50646011944164 -28.53612526594664 298.994739262842, 115.50649208291087 -28.53612501678173 298.910604051963, 115.50652404638026 -28.53612476760937 298.853960609751, 115.50655600984989 -28.536124518429386 298.824804562963, 115.50658797331971 -28.53612426924196 298.823133660566, 115.50661993678976 -28.53612402004692 298.848947773553)"
415V,74100380,35509507,7527402,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74100380,absolute,"LINESTRING Z (115.50630109991252 -28.53613040145539 299.760959717745, 115.50633292038974 -28.536130095660866 299.576078821784, 115.50636474086713 -28.53612978985888 299.409839368687, 115.50639656134472 -28.53612948404942 299.262235420162, 115.50642838182242 -28.536129178232493 299.133261703601, 115.50646020230033 -28.5361288724081 299.022913611891, 115.50649202277843 -28.536128566576238 298.931187203253, 115.50652384325667 -28.53612826073692 298.858079201098, 115.50655566373513 -28.53612795489013 298.803586993913, 115.50658748421371 -28.536127649035873 298.767708635162, 115.50661930469249 -28.536127343174154 298.750442843225)"
415V,74100381,35509507,7527402,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74100381,absolute,"LINESTRING Z (115.50629873062339 -28.536118848335434 299.93304611615, 115.50633101036487 -28.536118528663533 299.720716255709, 115.50636329010655 -28.536118208984043 299.528828977508, 115.50639556984837 -28.536117889296776 299.357376278781, 115.50642784959037 -28.536117569601828 299.206351009, 115.50646012933254 -28.536117249899288 299.075746869572, 115.50649240907487 -28.536116930188978 298.965558413579, 115.5065246888174 -28.536116610471073 298.875781045551, 115.50655696856008 -28.536116290745387 298.806411021272, 115.50658924830294 -28.536115971012112 298.757445447629, 115.50662152804598 -28.536115651271064 298.728882282484)"
415V,74100390,35509511,7527535,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74100390,absolute,"LINESTRING Z (115.50894648291278 -28.536125085358837 291.0236631224, 115.50890562831637 -28.536124973427757 290.80285980268, 115.50886477372065 -28.536124861484385 290.663564922291, 115.50882391912556 -28.536124749528724 290.605720701848, 115.50878306453117 -28.536124637560857 290.629303147623, 115.50874220993748 -28.53612452558061 290.734322041593, 115.50870135534444 -28.536124413588066 290.920820945494, 115.50866050075209 -28.536124301583317 291.188877218897, 115.5086196461604 -28.5361241895662 291.538602051288, 115.50857879156939 -28.536124077536773 291.970140508199, 115.50853793697905 -28.53612396549515 292.48367159137)"
415V,74100404,35509520,7527537,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74100404,absolute,"LINESTRING Z (115.50561512225984 -28.53745524996793 300.397686777759, 115.50564861762581 -28.537454639143434 300.211333125076, 115.50568211299182 -28.537454028310655 300.04297644967, 115.50571560835782 -28.537453417469685 299.892611692968, 115.50574910372384 -28.537452806620337 299.760234336996, 115.50578259908987 -28.537452195762715 299.645840404244, 115.50581609445592 -28.537451584896814 299.549426457543, 115.50584958982195 -28.537450974022633 299.470989599967, 115.505883085188 -28.537450363140266 299.410527474742, 115.50591658055407 -28.53744975224952 299.368038265178, 115.50595007592015 -28.5374491413505 299.343520694611)"
415V,74100405,35509520,7527537,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74100405,absolute,"LINESTRING Z (115.50561517851858 -28.537467151884776 300.486740159487, 115.5056488189934 -28.537467164175055 300.230342402156, 115.50568245946864 -28.537467176456907 300.007080731342, 115.5057160999443 -28.53746718873042 299.816932645456, 115.50574974042036 -28.537467200995696 299.659878980285, 115.50578338089683 -28.53746721325254 299.535903907063, 115.5058170213737 -28.53746722550104 299.444994930872, 115.50585066185096 -28.537467237741303 299.387142889384, 115.50588430232864 -28.537467249973133 299.362341951942, 115.50591794280673 -28.537467262196635 299.370589618963, 115.50595158328524 -28.53746727441188 299.411886721695)"
415V,74100406,35509520,7527537,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74100406,absolute,"LINESTRING Z (115.50561513764772 -28.53745850325785 300.475304052921, 115.50564867345004 -28.537458072092285 300.233321621875, 115.50568220925253 -28.537457640918515 300.018487340832, 115.5057157450551 -28.53745720973634 299.830786581379, 115.50574928085781 -28.537456778545888 299.670206562666, 115.50578281666064 -28.537456347347142 299.536736350538, 115.50581635246361 -28.5374559161401 299.430366856794, 115.50584988826668 -28.53745548492476 299.35109083856, 115.50588342406989 -28.53745505370112 299.298902897806, 115.5059169598732 -28.537454622469188 299.273799480968, 115.50595049567666 -28.537454191228953 299.275778878715)"
415V,74100407,35509520,7527537,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74100407,absolute,"LINESTRING Z (115.5056151617892 -28.537463611862975 300.471995961706, 115.50564875626587 -28.53746340496295 300.303372298902, 115.5056823507428 -28.53746319805461 300.145626396848, 115.50571594522 -28.537462991137946 299.998756532746, 115.50574953969746 -28.537462784212966 299.862761102578, 115.50578313417519 -28.53746257727967 299.73763862109, 115.5058167286532 -28.53746237033805 299.623387721775, 115.50585032313147 -28.537462163388106 299.52000715686, 115.50588391761002 -28.53746195642985 299.427495797287, 115.50591751208883 -28.53746174946328 299.345852632709, 115.5059511065679 -28.537461542488376 299.275076771471)"
415V,74100448,35509541,7527469,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74100448,absolute,"LINESTRING Z (115.50661863613806 -28.53611580925832 298.727840622399, 115.50665345812459 -28.53611622368324 298.603438896156, 115.5066882801118 -28.53611663809923 298.489246360492, 115.50672310209971 -28.5361170525063 298.385261991845, 115.50675792408832 -28.536117466904454 298.291484858153, 115.50679274607762 -28.53611788129368 298.207914118843, 115.50682756806764 -28.536118295673976 298.134549024831, 115.50686239005836 -28.53611871004536 298.071388918511, 115.50689721204978 -28.536119124407826 298.018433233745, 115.50693203404191 -28.53611953876136 297.975681495868, 115.50696685603472 -28.53611995310597 297.943133321673)"
415V,74100449,35509541,7527469,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74100449,absolute,"LINESTRING Z (115.50661855780513 -28.536120186090113 298.814877552512, 115.50665333751652 -28.536120482443746 298.525197344085, 115.50668811722855 -28.536120778788383 298.281903059076, 115.50672289694121 -28.536121075124203 298.084949785324, 115.50675767665447 -28.53612137145113 297.934301165222, 115.50679245636837 -28.536121667769063 297.829929389013, 115.5068272360829 -28.536121964078184 297.771815189651, 115.50686201579802 -28.536122260378388 297.759947839244, 115.50689679551378 -28.5361225566697 297.79432514708, 115.50693157523015 -28.53612285295202 297.874953459213, 115.50696635494715 -28.536123149225514 298.001847659643)"
415V,74100450,35509541,7527469,Sep  3 2021  3:20AM,ROAMES Conductor Id: 74100450,absolute,"LINESTRING Z (115.50661847489569 -28.536127370715185 298.752752029255, 115.50665314624648 -28.53612769248288 298.613184759273, 115.50668781759786 -28.53612801424181 298.484731696671, 115.5067224889499 -28.536128335991904 298.367391465359, 115.5067571603026 -28.536128657733055 298.261162808293, 115.50679183165589 -28.536128979465445 298.166044587467, 115.50682650300985 -28.536129301188996 298.082035783899, 115.50686117436445 -28.53612962290359 298.00913549762, 115.50689584571964 -28.536129944609442 297.947342947663, 115.50693051707549 -28.536130266306436 297.896657472057, 115.50696518843199 -28.5361305879945 297.857078527818)"
